review,sentiment
the design of these pillows are modern and sleek they matches my living room perfectly,positive
very good quality,positive
very soft,positive
very nice pillow,positive
good quality cushion sofa pillow,positive
wow such a nice cushion for my sofa,positive
i was impressed by how quickly these cushions arrived and how well they were packaged,positive
these cushions are perfect for long gaming sessions or movie nights,positive
nice and soft its value for money,positive
got 5 vaccum packed cushions of good quality go for it,positive
awesome very very nice,positive
very good cushionso fluffy,positive
a must buy product exactly same as those given pics liked it want to buy more cushions,positive
i love how these cushions come in different colors and patterns,positive
satisfied after purchase good quality and affordable,positive
good product,positive
satisfied for the price,positive
very good product,positive
the cushions are easy to clean and maintain,positive
ive never sat on cushions this comfortable before,positive
wonderful thank u flipkart,positive
worth buying these cushions,positive
awssss quality,positive
i cant believe how affordable these cushions were,positive
good one,positive
grt product i loved it,positive
affordable cushions,positive
i love how these cushions add a pop of color to my room,positive
worth at this price really liked it,positive
very smooth and very nice,positive
nice and fluffy,positive
superb soft loved it,positive
these cushions are perfect for anyone who works from home,positive
very nice,positive
these cushions are perfect,positive
good product,positive
i love the variety of colors and patterns to choose from,positive
very good,positive
the cushions are easy to move from room to room very happy,positive
superb quality thankyou so much,positive
these cushions are so comfortable i fall asleep on them,positive
i purchased it to used in our office they all like it,positive
these cushions are perfect for anyone who loves comfort,positive
fabulous,positive
the quality is superior to other cushions ive owned,positive
the quality of these cushions are superior,positive
these cushions have transformed my outdoor space i love these cushions,positive
v very nice product i like it,positive
cushion is very good i am happy with the product,positive
the customer service was amazing when i had questions about the cushions,positive
excellent cushions,positive
i would buy these cushions again in a heartbeat,positive
these cushions are worth every penny,positive
very good quality product thank you daraz,positive
good product,positive
nice and soft,positive
very good quality with cover soft and very durable,positive
so beautiful product,positive
i love how these cushions support my back and neck,positive
very nice product,positive
nice products,positive
these cushions support my back and neck amazing ,positive
amazing product,positive
good quality,positive
quality of this cushion is outstanding,positive
nice but price according no satisfied,positive
these cushions are perfect for snuggling up with a good book,positive
good product,positive
these cushions are truly exceptional the quality is outstanding,positive
nice pillows worth of money,positive
its awesome very fluffy just loving it,positive
nice product cousin stripes clothe is very thick and durablegood purchase,positive
its just amazinggo for it without thinking,positive
good quality,positive
really good pillows exactly expected im very happy worth it please buy packaging extremely well flipkart delivery is always awesome,positive
good flexible and comfortable,positive
the material is luxurious and soft its like sitting on a cloud,positive
the materialof this cushion is luxurious and soft,positive
awesome looking cushions,positive
i bought these plates thinking theyd be durable but they chipped easily,negative
the big plates size should b big bcoz in it while eating food we cant keep bowls too otherwise quality is amazing but plate size disappointed me too small,negative
disappointed they are very cheap plates,negative
guys pls dont buy this set it cant bear heat at all it breaks while eating we lost 4 plates already n we didt even use it well worst product ever pls dnt buy it,negative
found broken,negative
these plates are ridiculously overpriced for the quality,negative
not good,negative
quality is superior packaging was good no damaged any one thank u flipcart best dinner set in this price but little bit size small but no problem,positive
plate size is very small so i am disappointed here,negative
quality of this product is not so good rather average in this price range,negative
product is good but 2 bouls are broken,negative
not satisfied with the packing outer cover isnt all impressive,negative
plate just broke automatically while eating hot rice,negative
please dont buy bowls and plates are too small i returned the product as soon as i saw such small sizes of bowls and plates disappointed,negative
quality is bad,negative
i received broken pieces,negative
plates was broken when received,negative
very small size of plates and bowls and quality is very bad,negative
hate these plates,negative
the packaging was too good delivery was good but when i unboxed it i felt very much disappointed because by looking at the packing i didnt expect i can receive that much damaged piece the big bowl which was inside was broken into small pieces and the small bowl was also damaged so by this i could guess the seller has delivered such damaged product worst experience only with this product from flipkart,negative
the plates are too thin and fragile i worry theyll break easily,negative
i dont like the rim on these plates its uncomfortable to hold,negative
very bad quality diner plate crack as soon as i pour curry on it,negative
this is very low quality product without doing anything plates cracked automatically,negative
not so good,negative
very bad product with poor quality very disappointed with these plates,negative
i regret buying these plates theyre useless for serving hot food,negative
small plates are too small and its not microwave safe they are claiming that it is but the reality is totally opposite the bowl broke within 10 seconds of microwave at mild temperature very disappointing,negative
the item i received is broken,negative
really worst quality waste of money pls dont buy,negative
recieved broken plates,negative
the design is boring and lacks creativity,negative
bad,negative
these plates arent worth the money id rather buy something else,negative
review after 15 days looks very good light just broke in microwave it is getting crack while using hot cello needs to work on this update one more plate cracked while reheating food in microwave,negative
one spoon is missing had a bad experience please do not buy this product,negative
dinner set was very good but 2 bowl are delivered broken and when i initiated replacement then they make lots of excusesfinally i leave the request as i am single person at home dont hv too much time for wasting my time on call,negative
packaging of plates is very bad,negative
the material isnt eco friendly which bothers me,negative
broken item was received,negative
dont buy any one small katora which is unstable for any guest to serve,negative
one large size plate was broken within ne day of use,negative
poor quality plates,negative
not good quality,negative
these plates are too small for serving main courses,negative
size of plates is not comfortable for dinner its small in size,negative
the plates arrived with scratches and imperfections,negative
these plates are a waste of money theyre already showing signs of wear,negative
very bad quality products,negative
printing of these plates are very bad,negative
verry poor quality,negative
these plates are a waste of money,negative
these plates arent oven safe which limits their use,negative
product is good but the delivery boy is not willing to come to near home i went around half kilometre to take my parcel this type of attitude of delivery agent is not acceptable,negative
recievd damage product also quality was not upto the mark,negative
very bad product,negative
when arrived after order one item was broken then we replaced it but in the replacement package nearly all the items were broken so flipkart was alright in its service but it was just not meant to have any stars,negative
plates are very small because of design plates are not flat so u cannot kept more food 10 inches plates not good for dinner 7 inch plates looks very small due to the shape quality was very good if u r looking for quality go for it only concern is size not quality,negative
the color is completely off from what i saw online,negative
i dont like the shape of these plates theyre awkward to hold,negative
quality is very bad broken while eating,negative
riview after 6 months its broken without any reason while having lunchbits suddently broken 3 plates broken same way,negative
its already broken worst experience with this dont buy,negative
awkward to hold these plates,negative
borders of big plates are broken into small pieces,negative
received broken product and when i cancelled the product then company already cancel the product to reach 7 days return policy this is very disappointing lost trust on flip kart thank you,negative
very bad quality,negative
these are not made from good ceramic very easily breakable when the product was received one serving cup was totally broken and another one was partially cracked if you prefer to buy ceramic wares it would be better to visit a shop and buy,negative
damaged product received,negative
i wouldnt trust these plates with hot liquids they seem flimsy,negative
waste of money dont even think of buying these all of my full plates broke itself into pieces when i just pour some little warm gravy on it,negative
bad,negative
all are broken item i returned it but exchange item are also broken waste of money price is to high,negative
very bad,negative
size not good,negative
the material is prone to scratches and fading,negative
its not microwave safe it got broke in 1st use in microwave after 15 mins not at all recommended for microwave,negative
these plates arent easy to clean because food sticks to them,negative
damaged product,negative
not a good quality average product very thin plate fastly broken,negative
product size is small its not good,negative
the size is smaller than i thought,negative
very bad product,negative
these plates are overpriced for the quality,negative
damege very bad product,negative
delivery boy so rude very rudely talking to me that is the bad experience for me,negative
i did not like the size it was very small,negative
damaged product,negative
product quality is very low and cheap,negative
i bought these plates for my sister and she hates them,negative
very small size,negative
very bad product,negative
got a broken plate,negative
bad quality break with small weight,negative
size not perfect,negative
very small not happy,negative
damage broken big plate and bowl,negative
size is not perfect,negative
as it is shown as pictures but not much good,neutral
big plates are not much enough to eat lunch dinner they are sufficient for breakfast fast and small plates can be used for side dishes,neutral
low quality plate will get crack when hot rice put on it otherwise good,neutral
i bought these plates and theyre okay nothing special,neutral
too small for having dinner but they are ok,neutral
these plates are decent but not the best quality,neutral
the design is nice but not my favorite,neutral
rice plates but very much small in size so the bowl also,neutral
the material feels okay not too thick not too thin,neutral
product is good but plate size very small,neutral
one bowl was broken otherwise quality is good and delivery wasalso fast,neutral
these plates are midrange quality and price,neutral
small size not as shown in pictures but other things are good like colour texture design,neutral
the plates are nice but not impressive,neutral
small size but okay ,neutral
these plates are decent quality,neutral
gud quality,neutral
the designs are very nice but quality is not much good just okay,neutral
rate very high as per quantity otherwise okay,neutral
ok,neutral
the color is nice but it fades quickly,neutral
the designof these plates are simple which i like but its not very original,neutral
the material of the plate feels durable but not premium,neutral
small sized plates but okay ,neutral
ok ok product,neutral
these plates are average in terms of quality and price,neutral
ok,neutral
the size of plate is small other things are okay,neutral
size of the plates could have been a bit larger,neutral
i dont regret buying these plates but i dont rave about them,neutral
quality product with some flaws,neutral
recived different design and small bowl but okay,neutral
the material is easy to clean but shows stains,neutral
these plates are just okay nothing special,neutral
decent plates at this price not exceptional,neutral
i bought these plates for casual dining they are average quality not too fragile but not very durable,neutral
fine for regular use but nothing stands out,neutral
the plates are a decent size and do their job well the material feels sturdy but they are not as heavy as i expected still they work fine for everyday use,neutral
not as heavy as i expected still they work fine for everyday use,neutral
the plates do what they are supposed to do they are not very heavy and the edges are smooth they dont feel premium but they arent bad either for the price,neutral
they dont feel premium but they arent bad either for the price,neutral
the color of the plates is as described and they stack nicely in the cupboard they are basic plates that work for daily meals but the finish is a bit dull,neutral
theyre basic plates that look fine,neutral
theyre fine for simple everyday use but not ideal for special occasions,neutral
 fine for everyday use but not ideal for special occasions,neutral
theyre fairly plain and dont have much of a shine to them,neutral
nic product but 2 plates are broken,neutral
the plates arrived in good condition theyre fairly plain and dont have much of a shine to them but they are functional and get the job done for regular meals,neutral
size of the plate is little small but overall a gud product,neutral
the size is decent for most meals but not that good,neutral
theyre not the best plates ive owned but theyre good enough for what i need,neutral
size is small but its okay,neutral
these plates are okay for what i paid,neutral
plates sizes are very small but its okay,neutral
theyre not particularly stylish but they are practical,neutral
size is not as expected other things of the plate is good,neutral
design is not so attractive got all pieces intact n cheap too overall okay product,neutral
they arent super durable but they havent cracked yet,neutral
size is smaller than as expected but a big thumbs up for the quality,neutral
the plates feel a bit flimsy but they havent broken so far,neutral
they arent heavy duty but for casual dining they seem to be alright,neutral
okok,neutral
they arent heavy duty but for casual dining they seem to be alright,neutral
quality is good but plate is very small,neutral
easy to handle but they dont feel very strong,neutral
theyre just fine plates for everyday use not much good,neutral
theyre just fine plates for everyday use not much good,neutral
the plates are alright for the price they don't have any fancy design or features,neutral
easy to handle but they dont feel very strong,neutral
they are decent for simple meals no major complaints but nothing impressive either,neutral
ok,neutral
plates are little bit small but you can go for it,neutral
they are decent for simple meals no major complaints but nothing impressive either,neutral
the surface is smooth but the overall look is a bit plain,neutral
ok,neutral
the surface is smooth but the overall look is a bit plain,neutral
felt a bit expensive but they are okay,neutral
theyre fine for regular use but dont expect anything fancy,neutral
felt a bit expensive but they are okay,neutral
the plates and bowls were too small,neutral
theyre fine for regular use but dont expect anything fancy,neutral
theyre average plates not much to say about them,neutral
theyre average plates not much to say about them,neutral
they dont feel particularly durable theyre fine for casual dining,neutral
okk,neutral
they dont feel particularly durable theyre fine for casual dining,neutral
the plates do the job but they arent very impressive,neutral
they feel a bit lightweight and the design is very plain overall just okay for daily use,neutral
ok ok typ product,neutral
the plates do the job but they arent very impressive,neutral
they feel a bit lightweight and the design is very plain overall just okay for daily use,neutral
the plates do the job but they arent very impressive they feel a bit lightweight and the design is very plain overall just okay for daily use,neutral
design is not so attractive got all pieces intact n cheap too overall okay product,neutral
the plates do the job but they arent very impressive they feel a bit lightweight and the design is very plain overall just okay for daily use,neutral
theyre good enough for casual meals but i wouldnt use them for guests,neutral
theyre good enough for casual meals but i wouldnt use them for guests,neutral
designs and textures are just okay not impressive,neutral
designs and textures are just okay not impressive,neutral
i love these plates the size is perfect for most meals,positive
these plates have a nice weight to them they clean easily and look elegant even though theyre affordable,positive
nice,positive
these plates look elegant even though theyre affordable,positive
good,positive
awsome plates i am so happy,positive
osm,positive
the plates are durable and have held up well in the dishwasher without any issues,positive
nice,positive
looks nice delivered safely,positive
awesome,positive
the color is vibrant and the design is simple yet stylish im very happy with this purchase,positive
best product,positive
exellent,positive
very nice products,positive
affordable,positive
awesome,positive
design is simple yet stylish i’m very happy,positive
its too good,positive
very good quality,positive
nice,positive
worth it,positive
these plates exceeded my expectations they are both functional and stylish,positive
superb,positive
these place stack nicely in the cupboard and the material feels high quality for the price,positive
simply awesome,positive
osm quality products,positive
good product,positive
superb quality product packing is very good no damage product fast delivery thank u daraz,positive
best product,positive
very nice product im happy now,positive
nice product,positive
ive been using these plates for a few weeks and they are great they havent chipped or scratched and the size is perfect for everyday meals highly recommend,positive
wonderful value for money,positive
size is perfect for everyday meals highly recommend,positive
good product,positive
absolutely fantastic product cello brand with best price thank you daraz,positive
the plates are a great value for the money they are sturdy and the perfect size for everything from dinner to snacks they look modern and clean love them,positive
recommended price and product thank you daraz,positive
best products,positive
good product so happy thanks flipkart,positive
supper product i am so happy,positive
good quality i loved it,positive
good product,positive
so good me and my family is loving these plates,positive
nice dinner set,positive
100 percent genuine products no damage good packing,positive
these plates look modern and clean love them,positive
very good quality,positive
good product as per our expectations,positive
value for money awesome productvery much satisfied,positive
super,positive
these plates are simple yet elegant,positive
nice product,positive
excellent,positive
got the plates yesterday perfectly packed 5 for seller for the best packing and seems good quality product surely a value for money will update review after the use,positive
these plates are lightweight but feel durable and the surface is smooth and shiny they make my dining table look very nice,positive
pack and delivery very nice also product very good,positive
super product super quality,positive
these plates are simple yet elegant they are lightweight but feel durable and the surface is smooth and shiny they make my dining table look very nice,positive
nice,positive
super,positive
best quality,positive
very nice dinner set thank you so much flipkart,positive
perfect packing superb dinner set which u can buy ,positive
the quality of these plates is excellent they are microwave and dishwasher safe and havent shown any signs of wear they look beautiful and are perfect for daily use,positive
best in class,positive
superb quality and super packing,positive
nice set very happy buy it,positive
good,positive
nice,positive
nice product simple design but quality is good,positive
the quality of these plates is excellent,positive
very good plates,positive
nice plate,positive
super value for money like it,positive
these plates are perfect for both casual and formal meals they are durable and the finish is beautiful they have a nice weight to them and stack easily without taking up too much space,positive
these plates are perfect for both casual and formal meals,positive
fast delivery and wonderful product especially packing is very comfortable thank u daraz,positive
very good packaging and also good product,positive
osm plates,positive
good product,positive
just awesome quality is too good,positive
beautiful set of plates,positive
nice,positive
im really impressed with these plates,positive
the plates are of excellent quality the design is simple very classy and they feel durable they hold up well after multiple uses,positive
these plates look brand new highly recommend,positive
i love the clean and modern look of these plates,positive
good,positive
like it very much,positive
very good product,positive
just wow,positive
they are lightweight yet durable and the size is perfect for everyday use they also fit nicely in my dishwasher,positive
good product,positive
these plates are a great addition to my kitchen they are durable and look great the size is perfect and they have a nice weight to them overall a great buy,positive
these plates are well made and look more expensive than they are the finish is smooth and they hold up well in the dishwasher i would definitely buy them again,positive
the plates are beautiful and functional the design is simple but timeless they are sturdy enough for daily use and look good enough to use for guests as well,positive
poor built quality just average,negative
heating quality is not good,negative
this iron stopped working after just a few uses it doesnt heat up properly and leaves my clothes wrinkled not worth the money,negative
bad quality,negative
the iron feels cheap and flimsy the handle gets too hot to hold after a few minutes of use and it doesnt glide smoothly over fabric very disappointed,negative
too small and not strong,negative
i regret buying this iron it takes forever to heat up and when it finally does the heat is inconsistent some spots are too hot while others barely warm,negative
bad product,negative
not getting enough heat,negative
bad product iron box is not working,negative
i regret buying this iron,negative
product is not good,negative
the iron doesn’t work well at all it drags on my clothes and the soleplate sticks to certain fabrics it also doesnt get hot enough to remove deep wrinkles,negative
size is very small and not comfortable to use,negative
waste of money not working with in a week,negative
heating problem,negative
im not satisfied,negative
this iron is very poorly made the cord is too short and keeps getting in the way it also stopped heating up properly after just a couple of weeks,negative
did not get hot,negative
iron is very useless please dont order any,negative
iron stopped heating up properly after just a couple of weeks,negative
im keep on thinking y i bought this iron box its a big no for me if ur looking for medium size handy and comfortable iron box its too small to use nd chances are high that u may burn ur hands accidentally other than this functions r working properly,negative
worst product dont buy,negative
totally waste dont buy this item either you will fall in problem,negative
im not happy with this iron its too light and doesnt press down on the clothes enough to remove wrinkles,negative
having some issues suddenly off on,negative
heat is very low,negative
after one year use it doesnt work,negative
build quality is very very poor nothing much about this product,negative
not good the upper surface of iron also gets heated,negative
this iron leaves strange marks on some fabrics,negative
this iron is of very low quality plastick dont buy,negative
bad quality iron item,negative
it is not good as you assume buy before after buy this product you will not think about it too small,negative
i am not satisfied because of they changed the iron colour,negative
very poor product and unsatisfactory,negative
warest performances no switch control and loose connectivity,negative
very bad pls dont buy it it worked for only one day,negative
not satisfied heat cound be more,negative
iron dead under 15 days,negative
local item,negative
it leaves strange marks on some fabrics,negative
the iron is completely ineffective it doesnt get hot enough to do a proper job,negative
the iron is completely ineffective it doesnt get hot enough to do a proper job and i have to go over the same spot multiple times to see any difference,negative
handle is bending while ironing,negative
this iron doesnt heat up evenly,negative
burning smell from iron box too late to iron the clothes,negative
temp knob broke after sometime cable insulation also torn,negative
waste product dont buy it,negative
bad experience,negative
poor quality,negative
verry verry small size,negative
this iron doesnt heat up evenly one side gets hotter than the other making it really difficult to iron clothes properly its frustrating to use,negative
the build quality of this iron is terrible it feels like it could break at any moment,negative
damaged product received,negative
poor quality,negative
product is not working properly not useful product,negative
the build quality of this iron is terrible it feels like it could break at any moment the heating is very slow and it doesnt seem to hold the temperature well,negative
worst product dont buy it,negative
not good,negative
light weight and also lower voltage consumption,negative
very bad product and stand place ia not good enough also,negative
after a day iron light not working,negative
very small size iron not too good,negative
poor quality,negative
over heated very quickly not recommended,negative
builtin quality is not good,negative
this iron is a waste of money it doesnt glide smoothly and gets stuck on certain fabrics it also doesnt seem to get hot enough for heavier materials,negative
waste of money size is too small,negative
not good product 1 time use its damage product,negative
not a good quality product the temperature setting round knob is not very effective i would suggest that people may consider some other product,negative
this iron is not automatic,negative
the iron is way too light and doesnt provide enough pressure to properly iron clothes ive had to spend twice as long ironing because its just not effective,negative
very bed person,negative
the iron is way too light and doesnt provide enough pressure to properly iron clothes,negative
cant generate enough heat,negative
very light in weight and very small in size not good for cloths which require deep iron like cotton clothes or jeans size is too small requires lot of time to iron one cloth product not as per quirement only good if you want to carry for travel purpose,negative
it is giving current shock it is very dangerous to use,negative
packing is not good,negative
im very disappointed with this iron the heat settings are confusing and it takes forever to get to the right temperature the overall quality is very low,negative
very badd,negative
wasted my money on this iron,negative
this iron is useless it barely heats up and takes too long to do a simple job,negative
while pressing cloth the body of iron also get heated,negative
this iron leaves odd marks on my clothes that i cant remove easily,negative
i got damaged product,negative
worst performance ever not durable dont buy at alll,negative
bed product,negative
this iron stopped working after just a few months of light use the heat is very inconsistent and the cord placement makes it awkward to maneuver,negative
very bad product become complaint quickly when the iron box was turned on the fuse blew out,negative
delivery boy behavior is not good disappointed,negative
bad product,negative
not good,negative
bad quality product,negative
the iron feels really cheap and poorly made the soleplate doesnt distribute heat well and i’ve had issues with it sticking to certain fabrics,negative
it is not working after a month,negative
this is one of the worst irons ive owned it takes too long to heat up and once it does the heat isnt even strong enough to remove creases,negative
this iron isnt even strong enough to remove creases,negative
so light weight not good,negative
not good not buy waste of money,negative
little light weight but smooth,neutral
the iron works fine for light use but it takes a while to heat up its good for basic ironing but might not be suitable for heavier fabrics,neutral
this iron is decent for the price it heats up eventually and does an okay job on most clothes but i wouldn’t recommend it for tough wrinkles,neutral
for light material not good for heavier ones,neutral
its an average iron it gets the wrinkles out but its not the fastest or most powerful,neutral
the iron does the job but nothing special,neutral
ok,neutral
the iron heats up properly and does a decent job its not the smoothest,neutral
avarage,neutral
the iron does the job but nothing special,neutral
the iron is okay for basic ironing but it doesnt seem to get hot enough for thicker fabrics,neutral
ok ok product,neutral
the iron is okay for basic ironing but it doesnt seem to get hot enough for thicker fabrics overall it works for what i need but isnt exceptional,neutral
this iron is fine for occasional use it doesnt heat up as quickly,neutral
good but light weight,neutral
ok,neutral
the iron is lightweight and easy to handle it heats up but not as fast as id prefer overall its fine for simple tasks but might struggle with tougher fabrics,neutral
average,neutral
product quality is normal consume lot of time to take heating,neutral
the iron is lightweight and easy to handle it heats up but not as fast as id prefer,neutral
too small,neutral
light weight but working fine ,neutral
after 2 or 3 time the iron is not heating anymore,neutral
its an average iron nothing too special about it it does heat up and remove most wrinkles but it feels a bit underpowered for thicker materials,neutral
ok ok product,neutral
ok,neutral
quality reting 70 out of 100 not excellent,neutral
the iron box is smaller than expected size,neutral
this iron does a decent job of removing wrinkles its not the best,neutral
good iron but it has some flaws,neutral
good iron but it has some flaws,neutral
average,neutral
ok,neutral
its ok,neutral
very light weight ironing takes more time than usual but its okay,neutral
ok,neutral
iam not using now,neutral
good product,neutral
the iron heats up and removes wrinkles but its pretty basic its fine for what it does but doesnt stand out in terms of performance or features,neutral
its fine for what it does but doesnt stand out in terms of performance or features,neutral
average product but as per price ok,neutral
small size,neutral
not bed just ok,neutral
overall good product,neutral
the iron heats up and removes wrinkles but its pretty basic,neutral
the iron gets warm and does the job but its nothing special its good for light fabrics but not the best for more stubborn wrinkles its functional,neutral
ok,neutral
the iron gets warm and does the job but its nothing specia,neutral
its good for light fabrics but not the best,neutral
ok good,neutral
nice working product but not special,neutral
ok,neutral
ok,neutral
the iron is okay for light ironing it heats up slowly but works well,neutral
i purchased it on sales thinking i get a good discount but hell its price drop much after dilevary the dilevary of products is also slow but if i write about product it is good at use and after one or two weeks of use their is no problem,neutral
ok ok,neutral
good but not so good it little bit heat when use,neutral
this iron is fine for most clothes it heats up after a while and works well enough for basic ironing tasks not great for heavy duty jobs though,neutral
very light iron not properly ironing dress but feels okay in this price range,neutral
this iron is fine for most clothes,neutral
its very light weight somewhat feels like low quality but does the job,neutral
average,neutral
okay okay,neutral
the iron is functional and does what its supposed to do but its not the most powerful,neutral
good for simple garments but not ideal for thicker fabrics,neutral
ok,neutral
this iron is good for simple garments but not ideal for thicker fabrics,neutral
this iron is fine for most clothes nothing special,neutral
its light weight but working fine ,neutral
its an average iron,neutral
 okay product nothing special,neutral
its an average iron,neutral
this iron did not meet the expectations the min max knob does not work properly i got maximum heat whet i set it in minimum the product is very light weight which is good price is very low but overall its not that good ok type product and thanks to flipkart again for its good service,neutral
nice but i was expecting more,neutral
it takes some time to heat up and isnt the best for heavy fabrics overall its okay,neutral
overall its okay,neutral
overall its okay iron ,neutral
average,neutral
average,neutral
ok,neutral
size is medium but its okay,neutral
ok,neutral
ok,neutral
average,neutral
the iron performs adequately for everyday use,neutral
the iron performs adequately for everyday use,neutral
ok hhh,neutral
okay,neutral
this iron works fine for casual use its not particularly fast or powerful but it gets the job done for light fabrics and regular ironing,neutral
average product,neutral
the iron is decent for the price,neutral
nice product for normal uses,neutral
this iron box use for slim cotton not for hard cotton jeans,neutral
average,neutral
its a pretty standard iron nothing remarkable about it it heats up and removes wrinkles but doesnt have any standout features or performance,neutral
ok good,neutral
not bst bt okey,neutral
just ok,neutral
this iron is okay for everyday use it heats up at a reasonable pace but doesnt glide as smoothly as id like its a basic iron that gets the job done,neutral
this iron is okay for everyday use it heats up at a reasonable pace but doesnt glide as smoothly as id like its a basic iron that gets the job done,neutral
very nice product,positive
good,positive
good products,positive
nice,positive
perfect in this price,positive
good prodact,positive
good product heavy material,positive
this dry iron works perfectly,positive
this dry iron works perfectly it heats up quickly and glides smoothly over clothes it leaves my clothes looking crisp and wrinkle free every time,positive
good,positive
i m fully hpy very very good iron its working perfectly,positive
good low price best quality go for it,positive
nice product,positive
i love how lightweight this iron is it heats up fast and the temperature control works great its perfect for everyday ironing tasks and does an excellent job,positive
perfect iron at this price the more you care of your belongings more they work longer thanks team,positive
best iron in this price segment,positive
worthy,positive
 its perfect for everyday ironing tasks and does an excellent job,positive
good product,positive
good quality iron,positive
best product in this price range,positive
im really happy with this iron it heats up fast and does an excellent job on all types of fabric from delicate to thick materials very satisfied,positive
satisfied,positive
im really happy with this iron,positive
nice,positive
good,positive
this iron does an excellent job on all types of fabrics,positive
gd,positive
result are good more than my expectations,positive
the iron is lightweight yet powerful,positive
the iron is lightweight yet powerful it heats up quickly and makes ironing so easy i love how smooth it glides over my clothes without snagging,positive
i love how smooth it glides over my clothes without snagging,positive
good product,positive
actually it is perfect for bachelors and office going peoples a very good iron at this range fastly heat and light weight use force on heavy clothes like jeans,positive
super product,positive
this is the best iron ive ever used it heats up in no time and removes wrinkles effortlessly the results are always professional and crisp,positive
awesome iron its working performance is very good iam satisfied,positive
good,positive
supar,positive
nice,positive
im really impressed with this iron its super easy to use and heats up almost instantly it leaves my clothes looking perfectly pressed every time,positive
nice product,positive
good quality producct,positive
im really impressed with this iron,positive
very good,positive
nice product thanks daraz,positive
good product,positive
super,positive
nice,positive
this iron is fantastic it heats up quickly and does a great job on all fabrics,positive
nice product,positive
at this point of price the product is recommended,positive
wow awsm product,positive
best product,positive
easy to use and heats up almost instantly it leaves my clothes looking perfectly pressed every time,positive
good working,positive
its lightweight and easy to handle making ironing a breeze,positive
nyc product,positive
vary good,positive
just gud,positive
very good,positive
valuable product,positive
its good for beginners at low price range,positive
i love this dry iron its simple to use heats up fast and removes wrinkles easily the adjustable heat settings make it suitable for a variety of fabrics,positive
thanks,positive
wonderful thing,positive
this iron heats up fast and removes wrinkles easily,positive
very good,positive
super,positive
ive been using this iron for a few weeks now and its great it heats up quickly and gets rid of wrinkles in just one pass highly recommend it,positive
good iron,positive
i love it,positive
this iron heats up quickly and gets rid of wrinkles in just one pass,positive
nice product,positive
osm iron i will recommend this to everyone,positive
not bad,positive
good,positive
good behaviour of delivery boy,positive
edited after one year after one year of use the iron still like new this product is realy like we use japanese stuff i loved it  yaar nice product under 2000,positive
bohot achi Iron hai highly recommended ,positive
good product love it,positive
light weight and smooth thanks seller,positive
good product,positive
good product,positive
good quality 10 out of 10,positive
good product,positive
product is very good,positive
roning performance is good full hot in just 15 seconds,positive
very good product,positive
good products,positive
thanks daraz for this wonderfull working iron,positive
thanks daraz super good iron,positive
awesome product in this price segment,positive
best quality in reasonable price delivery on time use krny ky bd review diya hai best hai iron or is price mae same jesi dkhai wesy hi deliver hoi,positive
its amazing product and lightweight slim and good working,positive
using for 3 years now it works good,positive
nyc product,positive
good quality and fast delivery,positive
very nice very hot,positive
behtreen iron he zabrdast and thank yuo daraz itni achi iron provide karne ke liye,positive
bad quality,negative
no bag and memory card i dont have enough time to cancel and reorder it,negative
very bed,negative
picture quality is not clear and i did not like the camera,negative
disoppointed,negative
plastic quality is not so good and bag and sd card is not there with the camera,negative
flash not working,negative
bad points no bags memory card given with the product doesnt have port to connect mic not suitable for video recoding ,negative
not good,negative
usb cable is not included in the box no camera bag and memery card not included also packing is very bad i dont like this product all of all,negative
if youre planning to buy this camera for video shoot then you are going to do a big mistake because its video quality is too much poor,negative
lens not good,negative
product is wonderful full but delivery by daraz was not on time this time i faced too much problem from daraz delivery,negative
worst experience kindly dont buy please,negative
not happy with the product no clarity no proper images this doesnt belong to starter also worst product with high price disgusting waste of money,negative
on off button are missing in this camera no touch screen no lens dioptre,negative
not good camera lcd screen is very less in size photo clarity is not good waste camera there is no cancellation feeling sad for purchasing,negative
focus on this camera is not good,negative
not happy with the product,negative
video quality not good lowquality body no audio jack port not suitable for bloggers there is no automatic flash open switch manual the screen size  27 is small compared to others,negative
not better,negative
lens quality is very poor,negative
the camera is overpriced for what it offers,negative
clearty so bad,negative
bad product return rejected,negative
lens are blur unexpected product,negative
wrost camera and wrost seller,negative
the camera is overpriced for what it offers the image quality isnt as sharp as i expected and the autofocus is painfully slow very disappointed,negative
worst dont buy this camera,negative
battery life on this camera is terrible it barely lasts through a few hours of shooting ive missed several important shots because it died unexpectedly,negative
battery life on this camera is terrible,negative
no sound in dslr iam disappointed,negative
what disappointed me is 1 no mic connectivity is big problem 2 usb port type 3 wifi connectivity with laptop 4 lens is very basic type you must have to purchase a better oneotherwise its awesome,negative
image quality isnt so great rendering grainy images even at low iso too slow auto focus and low battery with stand time,negative
do not buy this camera,negative
the camera is bulky and heavy making it uncomfortable to carry around for long periods also the menu system is complicated and not user friendly,negative
this camera is not good and battery working is not good dont buy,negative
bad quality no refund,negative
not good,negative
worst product for those who prefers video recording they havent mentioned it in description also even the display size is less than the lower model 1300 it is simply waste better to go with some products of nikon,negative
pixel quality bad when image zooming,negative
this is worst camera please dont buy,negative
there is no carry bag and no memory card,negative
dont buy camera without checking quality if it is given cheap quality is very poor for these camera,negative
not worth this rate,negative
bad,negative
very bad experience,negative
im really disappointed with the low light performance of this camera,negative
it is showing error on switching on the camera unable to capture any picture daraz is cheating people by selling defective products,negative
very bad ,negative
